iteration	evaluations	runtime[s]	COSTDUR[MIN]	cost	duration	undt	reqsk	overwork	phenotypeBeforeNormalization
14	896	0.083	135.4836506967385	10997.675181476683	255.06898881971654	0	0	0.0	1.0,1.0,0.5,0.75,0.5,0.75,0.75,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.75,0.25,0.0,1.0,0.75,0.25,0.75,0.75,0.25,1.0,0.75,0.0,0.25,0.0,1.0,0.25,1.0,0.25,1.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,1.0,0.0,0.25,0.25,0.0,0.0,0.0,
15	960	0.087	135.33414250001718	10970.134197870126	256.32800521315914	0	0	0.0	1.0,1.0,0.5,0.75,0.5,0.75,0.75,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.75,0.25,0.0,1.0,0.75,0.25,0.75,0.75,0.25,1.0,0.75,0.0,0.25,0.0,1.0,0.25,1.0,0.25,1.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,1.0,0.0,0.25,0.25,0.0,0.0,0.0,
16	1024	0.091	134.05119082966826	10579.309487524813	282.58095954420116	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.75,0.25,0.0,1.0,0.0,0.25,0.5,1.0,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,
17	1088	0.095	134.05119082966826	10579.309487524813	282.58095954420116	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.75,0.25,0.0,1.0,0.0,0.25,0.5,1.0,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,
18	1152	0.099	134.05119082966826	10579.309487524813	282.58095954420116	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.75,0.25,0.0,1.0,0.0,0.25,0.5,1.0,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,
19	1216	0.103	133.71400352288845	10519.762127539048	285.16382247497967	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.5,0.5,1.0,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,
20	1280	0.107	133.48460439005441	10494.332344330534	285.41280946749055	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.5,0.5,1.0,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,
21	1344	0.11	133.17636023746707	10427.968412311346	288.966761143536	0	0	0.0	1.0,1.0,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.75,0.25,0.0,1.0,0.75,0.25,0.75,0.5,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,
22	1408	0.114	132.4464998941557	10366.827692610628	287.7822296804941	0	0	0.0	1.0,0.75,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.5,0.5,1.0,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,
23	1472	0.118	132.4464998941557	10366.827692610628	287.7822296804941	0	0	0.0	1.0,0.75,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.5,0.5,1.0,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,
