iteration	evaluations	runtime[s]	COSTDUR[MIN]	cost	duration	undt	reqsk	overwork	phenotypeBeforeNormalization
1	64	0.013	55.93288700613046	14044.587473850916	137.99124584577712	0	0	0.0	0.75,0.0,0.25,0.75,1.0,0.75,0.25,0.75,1.0,0.75,0.0,0.25,0.5,0.25,1.0,0.75,0.75,1.0,1.0,0.75,0.75,0.25,0.75,0.25,0.5,0.5,1.0,0.0,0.25,0.5,0.25,0.5,0.75,0.5,0.5,0.0,0.75,0.75,0.25,0.75,0.0,0.5,1.0,0.25,1.0,0.25,1.0,0.25,0.5,0.75,
2	128	0.025	55.93288700613046	14044.587473850916	137.99124584577712	0	0	0.0	0.75,0.0,0.25,0.75,1.0,0.75,0.25,0.75,1.0,0.75,0.0,0.25,0.5,0.25,1.0,0.75,0.75,1.0,1.0,0.75,0.75,0.25,0.75,0.25,0.5,0.5,1.0,0.0,0.25,0.5,0.25,0.5,0.75,0.5,0.5,0.0,0.75,0.75,0.25,0.75,0.0,0.5,1.0,0.25,1.0,0.25,1.0,0.25,0.5,0.75,
3	192	0.033	55.75377042680613	13840.89386500832	142.31088831781165	0	0	0.0	0.75,0.75,0.5,0.75,1.0,0.5,0.25,0.5,0.75,1.0,0.0,0.25,0.0,0.5,1.0,0.5,0.75,1.0,0.25,0.25,0.0,0.75,0.25,1.0,0.5,0.25,1.0,0.0,1.0,0.0,0.5,0.75,0.0,0.25,0.5,0.75,0.75,0.75,0.5,1.0,0.75,0.5,0.75,0.0,1.0,0.0,1.0,0.25,0.75,0.75,
4	256	0.039	55.46753672888077	13097.588609838818	161.7477089936432	0	0	0.0	0.75,0.75,0.5,0.75,0.5,0.5,0.75,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.5,0.25,1.0,1.0,0.5,0.0,0.0,0.75,0.25,1.0,0.5,0.25,0.25,0.25,0.75,0.75,0.25,0.0,0.25,0.5,1.0,0.25,0.75,0.5,0.25,1.0,0.25,0.5,0.75,0.0,0.5,0.0,0.75,0.0,0.25,0.0,
5	320	0.045	55.023268186741966	13347.810760523438	149.7983590517165	0	0	0.0	0.75,0.75,0.5,0.75,0.5,0.75,0.75,1.0,1.0,0.75,1.0,0.0,0.25,0.0,0.5,1.0,0.25,0.75,0.5,0.75,0.0,0.75,0.25,1.0,0.5,0.25,0.25,0.25,0.75,0.75,0.25,0.0,0.25,0.5,1.0,0.25,0.75,0.5,0.25,1.0,0.25,0.5,0.75,0.0,0.5,0.0,0.75,0.0,0.25,0.0,
6	384	0.05	54.89798580743993	13196.238395571218	153.09270620726272	0	0	0.0	0.5,0.75,1.0,0.5,0.0,0.75,0.0,0.5,1.0,1.0,1.0,0.0,0.25,0.0,0.5,1.0,0.25,0.75,0.5,0.75,0.75,0.75,0.25,0.75,1.0,0.5,0.5,0.5,0.25,0.75,0.25,0.0,0.25,0.5,1.0,0.25,0.75,0.5,0.25,1.0,0.25,0.5,0.75,0.0,0.5,0.0,0.75,0.0,0.25,0.0,
7	448	0.055	54.55432090465988	13889.506461637317	128.85801519747926	0	0	0.0	0.75,0.0,0.25,1.0,1.0,0.75,0.25,0.75,1.0,0.75,0.0,0.25,0.5,0.25,1.0,0.75,0.75,1.0,1.0,0.75,0.5,0.0,0.25,0.75,1.0,0.25,1.0,0.25,1.0,1.0,0.0,0.0,0.25,1.0,0.75,1.0,0.75,0.5,0.25,1.0,0.75,0.5,0.0,0.25,0.5,0.5,0.75,0.0,1.0,0.0,
8	512	0.059	53.94476452122212	13265.663027436969	141.4777543891121	0	0	0.0	0.75,0.75,1.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.25,0.0,0.5,0.5,0.25,0.75,0.5,0.75,0.0,0.75,0.25,1.0,0.5,0.25,0.5,0.5,1.0,0.75,0.25,0.0,0.25,0.5,1.0,0.75,0.75,0.5,0.25,1.0,0.25,0.5,0.75,0.0,0.5,0.0,0.75,0.0,0.25,0.0,
9	576	0.064	53.87243331421595	13314.958588290016	139.275575493459	0	0	0.0	0.5,0.75,1.0,0.5,0.5,0.75,0.0,0.5,1.0,1.0,1.0,0.0,0.25,0.25,0.5,1.0,0.25,1.0,0.5,0.75,0.75,0.75,0.25,0.75,0.5,0.25,0.5,0.5,0.75,0.75,0.25,0.0,0.25,1.0,1.0,0.25,0.75,0.5,0.75,1.0,0.25,0.5,0.75,0.0,0.5,0.0,0.75,0.0,0.25,0.0,
10	640	0.068	53.853981500159854	12978.971221694883	149.17067835075198	0	0	0.0	0.5,0.75,1.0,0.5,0.5,0.75,0.0,0.5,1.0,1.0,1.0,0.0,0.25,0.0,0.5,1.0,0.25,0.75,0.5,0.0,0.5,0.75,0.25,0.75,0.5,0.25,1.0,0.25,1.0,1.0,0.25,0.0,0.25,1.0,1.0,0.25,0.75,0.5,0.75,1.0,0.25,0.5,0.75,0.0,0.5,0.0,0.75,0.0,0.25,0.0,
